keyword,coefficient,direction
replacement,1.3343339148769853,PURSUE
renovations,1.2470147962889087,PURSUE
building,1.0611509645235406,PURSUE
fence,0.9698519487962659,PURSUE
roofing,0.934537697998535,PURSUE
roof,0.8784529058043798,PURSUE
demolition,0.8744777366740186,PURSUE
restroom,0.8313554890281352,PURSUE
renovation,0.810897067191413,PURSUE
flooring,0.7593243362228416,PURSUE
painting,0.7532843129664804,PURSUE
annual contract,0.6599168533280697,PURSUE
door,0.6457138228927806,PURSUE
roof replacement,0.614039955737739,PURSUE
prequalification annual,0.611875949169363,PURSUE
construction services,0.5716482804273041,PURSUE
prequalification,0.5643596073694723,PURSUE
construction,0.5632985804643376,PURSUE
rehabilitation,0.5429865916752429,PURSUE
qualification vendors,0.5378343161654413,PURSUE
minor,0.5211491951892193,PURSUE
ncs,0.5132957283626008,PURSUE
ncs division,0.5132957283626008,PURSUE
impact windows,0.5042708325306654,PURSUE
impact,0.5029223957242654,PURSUE
west,0.5025636422034889,PURSUE
interior,0.4822891877939476,PURSUE
repair replacement,0.4811523277920894,PURSUE
services,0.4801916025055754,PURSUE
remodel,0.47668124707028925,PURSUE
improvements,-1.11220463301374,AGAINST
water,-1.10634192793643,AGAINST
treatment,-0.7770057161210866,AGAINST
drainage,-0.5760284196097945,AGAINST
treatment plant,-0.5619302647634719,AGAINST
bridge,-0.5538979338603284,AGAINST
pump,-0.5515510122883088,AGAINST
pump station,-0.5290891943674995,AGAINST
hardening,-0.5284148778183789,AGAINST
artificial,-0.5254632344749767,AGAINST
lift,-0.5210769709758324,AGAINST
expansion,-0.5084036511079384,AGAINST
sidewalk,-0.48916434564443634,AGAINST
district,-0.4670739212919985,AGAINST
development,-0.46298062022696423,AGAINST
water treatment,-0.4536457545655424,AGAINST
control,-0.45263547648370583,AGAINST
landscaping,-0.4504430954078607,AGAINST
installation,-0.4490099133588301,AGAINST
concrete repairs,-0.44659043362569156,AGAINST
regional,-0.4463784467014627,AGAINST
sidewalks,-0.44009004626053827,AGAINST
tank,-0.4364562720083866,AGAINST
refurbishment,-0.4294640553985136,AGAINST
site,-0.4273562546737973,AGAINST
lift station,-0.42523153296579497,AGAINST
identified,-0.4201563287987528,AGAINST
flow,-0.41999397755984363,AGAINST
river,-0.4190588607102282,AGAINST
restoration,-0.41775852090562476,AGAINST
